,Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent
328,Mariannette Miller-Meeks ,(R),Iowa,District 02,N/a,Winner,50.0,2174194,1721926
329,Cindy Axne ,(D),Iowa,District 03,Incumbent,Winner,49.0,6236976,6236994
330,David Young ,(R),Iowa,District 03,N/a,N/a,47.6,3170072,3094582
331,J.D. Scholten ,(D),Iowa,District 04,N/a,N/a,62.1,2885915,2902003
332,Randy Feenstra ,(R),Iowa,District 04,N/a,Winner,37.9,1906234,1894288
333,Tracey Mann ,(R),Kansas,District 01,N/a,Winner,71.4,1403353,1127156
334,Kali Barnett ,(D),Kansas,District 01,N/a,N/a,28.6,603036,592924
335,Michelle De La Isla ,(D),Kansas,District 02,N/a,N/a,40.5,1825085,1810968
336,Jake Laturner ,(R),Kansas,District 02,N/a,Winner,55.3,1593407,1578460
337,Sharice Davids ,(D),Kansas,District 03,Incumbent,Winner,53.4,5638552,5168034
338,Amanda Adkins ,(R),Kansas,District 03,N/a,N/a,43.8,2182382,2139673
339,Ron Estes ,(R),Kansas,District 04,Incumbent,Winner,64.0,1993808,1420188
340,Laura Lombard ,(D),Kansas,District 04,N/a,N/a,36.0,264459,258684
341,James Comer ,(R),Kentucky,District 01,Incumbent,Winner,75.0,736116,502554
342,Brett Guthrie ,(R),Kentucky,District 02,Incumbent,Winner,71.0,1412797,1566622
343,Hank Linderman ,(D),Kentucky,District 02,N/a,N/a,26.3,93388,71122
344,Robert Lee Perry ,(L),Kentucky,District 02,N/a,N/a,2.1,12798,7825
345,John Yarmuth ,(D),Kentucky,District 03,Incumbent,Winner,62.7,658295,690226
346,Rhonda Palazzo ,(R),Kentucky,District 03,N/a,N/a,37.3,46144,45668
347,Thomas Massie ,(R),Kentucky,District 04,Incumbent,Winner,67.1,1457316,1563275
348,Alexandra Owensby ,(D),Kentucky,District 04,N/a,N/a,32.9,156174,106359
349,Hal Rogers ,(R),Kentucky,District 05,Incumbent,Winner,84.2,664168,835781
350,Andy Barr ,(R),Kentucky,District 06,Incumbent,Winner,57.3,4536264,4316239
351,Josh Hicks ,(D),Kentucky,District 06,N/a,N/a,41.0,2936320,2935615
352,Steve Scalise ,(R),Louisiana,District 01,Incumbent,Winner,72.2,37262827,32830607
353,Cedric Richmond ,(D),Louisiana,District 02,Incumbent,Winner,63.6,1628289,1302079
354,Clay Higgins ,(R),Louisiana,District 03,Incumbent,Winner,67.8,751498,720424
355,Robert Jon Anderson ,(D),Louisiana,District 03,N/a,N/a,11.6,63617,48015
356,Braylon Harris ,(D),Louisiana,District 03,N/a,N/a,17.9,23006,15130
357,Mike Johnson ,(R),Louisiana,District 04,Incumbent,Winner,60.4,1299787,1039393
358,Kenny Houston ,(D),Louisiana,District 04,N/a,N/a,25.5,33677,33407
359,Luke Letlow ,(R),Louisiana,District 05,N/a,N/a,0.0,1392822,1303757
360,Lance Harris ,(R),Louisiana,District 05,N/a,N/a,0.0,696805,687833
361,Martin Lemelle ,(D),Louisiana,District 05,N/a,N/a,0.0,173796,162747
362,Scotty Robinson ,(R),Louisiana,District 05,N/a,N/a,0.0,113903,113835
363,Candy Christophe ,(D),Louisiana,District 05,N/a,N/a,0.0,77101,131161
364,Phillip Snowden ,(D),Louisiana,District 05,N/a,N/a,0.0,29481,28077
365,Matthew Hasty ,(R),Louisiana,District 05,N/a,N/a,0.0,2654,2615
366,Garret Graves ,(R),Louisiana,District 06,Incumbent,Winner,71.1,1743015,1200287
367,Dartanyon Williams ,(D),Louisiana,District 06,N/a,N/a,25.6,111316,98114
368,Chellie Pingree ,(D),Maine,District 01,Incumbent,Winner,61.5,487080,264790
369,Jay Allen ,(R),Maine,District 01,N/a,N/a,38.5,79585,69853
370,Jared Golden ,(D),Maine,District 02,Incumbent,Winner,52.9,5272142,5233990
371,Dale Crafts ,(R),Maine,District 02,N/a,N/a,47.1,1199805,1196117
372,Andy Harris ,(R),Maryland,District 01,Incumbent,Winner,63.5,1468096,973953
373,Mia Mason ,(D),Maryland,District 01,N/a,N/a,36.3,2524,0
374,Dutch Ruppersberger ,(D),Maryland,District 02,Incumbent,Winner,67.2,1012835,927353
375,Johnny Ray Salling ,(R),Maryland,District 02,N/a,N/a,32.6,68320,66895
376,John Sarbanes ,(D),Maryland,District 03,Incumbent,Winner,69.5,573599,687299
377,Charles Anthony ,(R),Maryland,District 03,N/a,N/a,30.3,7798,6742
378,Anthony Brown ,(D),Maryland,District 04,Incumbent,Winner,79.3,1446636,846827
379,Steny H Hoyer ,(D),Maryland,District 05,Incumbent,Winner,68.5,4587189,4342255
380,Chris Palombi ,(R),Maryland,District 05,N/a,N/a,31.2,43462,42095
381,David Trone ,(D),Maryland,District 06,Incumbent,Winner,57.9,2944893,2959748
382,Neil Parrott ,(R),Maryland,District 06,N/a,N/a,40.2,315936,261259
383,Kweisi Mfume ,(D),Maryland,District 07,Incumbent,Winner,71.6,1014126,713389
384,Kimberly Klacik ,(R),Maryland,District 07,N/a,N/a,28.1,8296845,7499454
385,Amber Ivey ,(I),Maryland,District 07,N/a,N/a,0.0,41924,43394
386,Jamie Raskin ,(D),Maryland,District 08,Incumbent,Winner,67.3,2072652,1399252
387,Gregory Coll ,(R),Maryland,District 08,N/a,N/a,32.5,30876,27257
388,Richard E Neal ,(D),Massachusetts,District 01,Incumbent,Winner,96.5,4949384,5873122
389,James P McGovern ,(D),Massachusetts,District 02,Incumbent,Winner,65.3,1052549,1089412
390,Tracy Lovvorn ,(R),Massachusetts,District 02,N/a,N/a,34.6,26311,22319
391,Lori Trahan ,(D),Massachusetts,District 03,Incumbent,Winner,97.7,1449303,1232437
392,Jake Auchincloss ,(D),Massachusetts,District 04,N/a,Winner,60.8,2608686,2150904
393,Julie Hall ,(R),Massachusetts,District 04,N/a,N/a,38.9,131603,129378
394,Katherine Clark ,(D),Massachusetts,District 05,Incumbent,Winner,74.3,1788706,1514877
395,Caroline Colarusso ,(R),Massachusetts,District 05,N/a,N/a,25.6,148635,146972
396,Seth Moulton ,(D),Massachusetts,District 06,Incumbent,Winner,65.4,1289805,1802169
397,John Paul Moran ,(R),Massachusetts,District 06,N/a,N/a,34.4,300220,299104
398,Ayanna Pressley ,(D),Massachusetts,District 07,Incumbent,Winner,86.6,2163370,1748432
399,Stephen Lynch ,(D),Massachusetts,District 08,Incumbent,Winner,80.7,905614,1134662
400,Bill Keating ,(D),Massachusetts,District 09,Incumbent,Winner,61.3,708680,652448
401,Helen Brady ,(R),Massachusetts,District 09,N/a,N/a,36.3,28233,23735
402,John Bergman ,(R),Michigan,District 01,Incumbent,Winner,61.6,1868512,1733466
403,Dana Ferguson ,(D),Michigan,District 01,N/a,N/a,36.9,346213,339788
404,Bill Huizenga ,(R),Michigan,District 02,Incumbent,Winner,59.2,2175411,1883610
405,Bryan Berghoef ,(D),Michigan,District 02,N/a,N/a,38.2,751576,669864
406,Jean-Michel Creviere ,(3),Michigan,District 02,N/a,N/a,0.7,281,1207
407,Hillary Scholten ,(D),Michigan,District 03,N/a,N/a,47.0,3793132,3765942
408,Peter Meijer ,(R),Michigan,District 03,N/a,Winner,53.0,2975972,2887774
409,John Moolenaar ,(R),Michigan,District 04,Incumbent,Winner,65.0,1528612,1036160
410,Jerry Hilliard ,(D),Michigan,District 04,N/a,N/a,32.4,23117,23603
411,Dan Kildee ,(D),Michigan,District 05,Incumbent,Winner,54.5,1669951,1504094
412,Tim Kelly ,(R),Michigan,District 05,N/a,N/a,41.7,71106,71106
413,Fred Upton ,(R),Michigan,District 06,Incumbent,Winner,55.8,3616380,3464617
414,Jon Hoadley ,(D),Michigan,District 06,N/a,N/a,40.1,3116491,3098366
415,Tim Walberg ,(R),Michigan,District 07,Incumbent,Winner,58.8,2301635,1586358
416,Gretchen Driskell ,(D),Michigan,District 07,N/a,N/a,41.3,1712840,1712840
417,Elissa Slotkin ,(D),Michigan,District 08,Incumbent,Winner,50.9,8967420,7419974
418,Paul Junge ,(R),Michigan,District 08,N/a,N/a,47.3,2107608,2097131
419,Andy Levin ,(D),Michigan,District 09,Incumbent,Winner,57.8,1316607,907237
420,Lisa McClain ,(R),Michigan,District 10,N/a,Winner,66.3,2266287,2137031
421,Kimberly Bizon ,(D),Michigan,District 10,N/a,N/a,33.7,41438,41246
422,Haley Stevens ,(D),Michigan,District 11,Incumbent,Winner,50.2,5776924,5707448
423,Eric Esshaki ,(R),Michigan,District 11,N/a,N/a,47.8,1298612,1291509
424,Debbie Dingell ,(D),Michigan,District 12,Incumbent,Winner,66.4,1630498,1689582
425,Jeff Jones ,(R),Michigan,District 12,N/a,N/a,30.7,10616,9657
426,Rashida Tlaib ,(D),Michigan,District 13,Incumbent,Winner,77.9,4014411,3690334
427,Donald Eason ,(I),Michigan,District 13,N/a,N/a,0.0,34156,34156
428,Brenda Lawrence ,(D),Michigan,District 14,Incumbent,Winner,78.9,1084662,789570
429,Vance Patrick ,(R),Michigan,District 14,N/a,N/a,18.7,39670,41973
430,Jim Hagedorn ,(R),Minnesota,District 01,Incumbent,Winner,48.6,2386033,2305994
431,Daniel Feehan ,(D),Minnesota,District 01,N/a,N/a,45.5,4861651,4863835
432,Angie Craig ,(D),Minnesota,District 02,Incumbent,Winner,48.2,5380101,4435492
433,Tyler Kistner ,(R),Minnesota,District 02,N/a,N/a,45.9,2990054,2956042
434,Dean Phillips ,(D),Minnesota,District 03,Incumbent,Winner,55.6,2328616,2152031
435,Kendall Qualls ,(R),Minnesota,District 03,N/a,N/a,44.3,1863927,1751214
436,Gary Heyer ,(I),Minnesota,District 03,N/a,N/a,0.0,827,827
437,Betty McCollum ,(D),Minnesota,District 04,Incumbent,Winner,63.2,1171748,994072
438,Gene Rechtzigel ,(R),Minnesota,District 04,N/a,N/a,29.0,20075,20075
439,Ilhan Omar ,(D),Minnesota,District 05,Incumbent,Winner,64.3,5718517,5605576
440,Lacy Johnson ,(R),Minnesota,District 05,N/a,N/a,25.8,12050564,12000896
441,Chris Kelley ,(3),Minnesota,District 05,N/a,N/a,0.0,249583,249583
442,Ervan Katari Miller ,(I),Minnesota,District 05,N/a,N/a,0.0,255,187
443,Tom Emmer ,(R),Minnesota,District 06,Incumbent,Winner,65.5,2804265,2537612
444,Tawnja Zahradka ,(D),Minnesota,District 06,N/a,N/a,34.3,49242,49214
445,Collin Peterson ,(D),Minnesota,District 07,Incumbent,N/a,39.9,2714012,2867577
446,Michelle Fischbach ,(R),Minnesota,District 07,N/a,Winner,53.4,2618450,2580501
447,Pete Stauber ,(R),Minnesota,District 08,Incumbent,Winner,56.7,2593190,2608759
448,Quinn Nystrom ,(D),Minnesota,District 08,N/a,N/a,37.6,1530606,1527005
449,Trent Kelly ,(R),Mississippi,District 01,Incumbent,Winner,68.7,876882,826673
450,Antonia Eliason ,(D),Mississippi,District 01,N/a,N/a,31.3,22281,18174
451,Bennie G Thompson ,(D),Mississippi,District 02,Incumbent,Winner,66.0,1377392,1096904
452,Michael Guest ,(R),Mississippi,District 03,Incumbent,Winner,64.7,766807,518162
453,Steven Palazzo ,(R),Mississippi,District 04,Incumbent,Winner,100.0,817129,747217
454,Cori Bush ,(D),Missouri,District 01,N/a,Winner,78.8,1418014,1333512
455,Ann Wagner ,(R),Missouri,District 02,Incumbent,Winner,52.0,5598287,6513101
456,Jill Schupp ,(D),Missouri,District 02,N/a,N/a,45.4,4850948,4830434
457,Blaine Luetkemeyer ,(R),Missouri,District 03,Incumbent,Winner,69.4,2022905,2081391
458,Vicky Hartzler ,(R),Missouri,District 04,Incumbent,Winner,67.6,1700978,1335607
459,Lindsey Simmons ,(D),Missouri,District 04,N/a,N/a,29.7,395934,384622
460,Emanuel Cleaver ,(D),Missouri,District 05,Incumbent,Winner,58.5,1393847,928061
461,Ryan Derks ,(R),Missouri,District 05,N/a,N/a,38.7,76488,76488
462,Sam Graves ,(R),Missouri,District 06,Incumbent,Winner,67.1,1959516,1654756
463,Gena Ross ,(D),Missouri,District 06,N/a,N/a,30.8,10170,10530
464,Billy Long ,(R),Missouri,District 07,Incumbent,Winner,68.7,1320420,1518234
465,Audrey Richards ,(I),Missouri,District 07,N/a,N/a,0.0,7985,8113
466,Jason Smith ,(R),Missouri,District 08,Incumbent,Winner,76.9,1900227,1514786
467,Kathryn Ellis ,(D),Missouri,District 08,N/a,N/a,21.4,302428,305387
468,Kathleen Williams ,(D),Montana,District 01,N/a,N/a,43.6,6201758,6232286
469,Matt Rosendale ,(R),Montana,District 01,N/a,Winner,56.4,3674706,3488045
470,Jeff Fortenberry ,(R),Nebraska,District 01,Incumbent,Winner,59.5,1472816,2458330
471,Kate Bolz ,(D),Nebraska,District 01,N/a,N/a,37.7,1143509,1140371
472,Don Bacon ,(R),Nebraska,District 02,Incumbent,Winner,50.6,3749272,3713961
473,Kara Eastman ,(D),Nebraska,District 02,N/a,N/a,46.3,4414390,4468006
474,Adrian Smith ,(R),Nebraska,District 03,Incumbent,Winner,78.5,1506473,1148409
475,Mark Elworth Jr ,(D),Nebraska,District 03,N/a,N/a,17.7,255,0
476,Dina Titus ,(D),Nevada,District 01,Incumbent,Winner,61.8,706193,587919
477,Mark Amodei ,(R),Nevada,District 02,Incumbent,Winner,56.5,1048056,1016673
478,Patricia Ackerman ,(D),Nevada,District 02,N/a,N/a,40.7,449363,449449
479,Susie Lee ,(D),Nevada,District 03,Incumbent,Winner,48.8,4748019,4732009
480,Dan Rodimer ,(R),Nevada,District 03,N/a,N/a,45.8,2936059,2915216
481,Steven Horsford ,(D),Nevada,District 04,Incumbent,Winner,50.7,3492372,3024427
482,Jim Marchant ,(R),Nevada,District 04,N/a,N/a,45.8,1462772,1419405
483,Jonathan Royce Esteban ,(L),Nevada,District 04,N/a,N/a,2.4,2788,1603
484,Chris Pappas ,(D),New Hampshire,District 01,Incumbent,Winner,51.3,3205731,3105663
485,Matt Mowers ,(R),New Hampshire,District 01,N/a,N/a,46.2,1707214,1698761
486,Ann Kuster ,(D),New Hampshire,District 02,Incumbent,Winner,53.9,2960033,2970274
487,Steve Negron ,(R),New Hampshire,District 02,N/a,N/a,43.7,368177,378959
488,Don Norcross ,(D),New Jersey,District 01,Incumbent,Winner,62.5,2221989,1087264
489,Claire Gustafson ,(R),New Jersey,District 01,N/a,N/a,37.5,36520,21761
490,Jeff Van Drew ,(R),New Jersey,District 02,Incumbent,Winner,51.9,4229171,4041493
491,Amy Kennedy ,(D),New Jersey,District 02,N/a,N/a,46.2,4984376,4978913
492,Andy Kim ,(D),New Jersey,District 03,Incumbent,Winner,53.2,7241283,6753262
493,David Richter ,(R),New Jersey,District 03,N/a,N/a,45.5,1473669,1470648
494,Chris Smith ,(R),New Jersey,District 04,Incumbent,Winner,59.9,1383085,1284522
495,Stephanie Schmid ,(D),New Jersey,District 04,N/a,N/a,38.3,699580,658011
496,Josh Gottheimer ,(D),New Jersey,District 05,Incumbent,Winner,53.2,7694027,3487964
497,Frank Pallotta ,(R),New Jersey,District 05,N/a,N/a,45.6,1972033,1948705
498,Louis A. Vellucci ,(I),New Jersey,District 05,N/a,N/a,1.2,5456,5342
499,Frank Pallone Jr. ,(D),New Jersey,District 06,Incumbent,Winner,61.2,3231755,2021737
500,Tom Malinowski ,(D),New Jersey,District 07,Incumbent,Winner,50.6,7414403,7423758
501,Tom Kean ,(R),New Jersey,District 07,N/a,N/a,49.4,3869121,3775442
502,Albio Sires ,(D),New Jersey,District 08,Incumbent,Winner,74.0,605810,551325
503,Bill Pascrell Jr. ,(D),New Jersey,District 09,Incumbent,Winner,65.8,1560550,1795410
504,Billy Prempeh ,(R),New Jersey,District 09,N/a,N/a,31.9,44269,35075
505,Donald M Payne Jr. ,(D),New Jersey,District 10,Incumbent,Winner,83.3,593735,457252
506,Mikie Sherrill ,(D),New Jersey,District 11,Incumbent,Winner,53.3,6419707,3733106
507,Rosemary Becchi ,(R),New Jersey,District 11,N/a,N/a,46.7,1687532,1686236
508,Bonnie Watson Coleman ,(D),New Jersey,District 12,Incumbent,Winner,65.6,798439,840651
509,Mark Razzoli ,(R),New Jersey,District 12,N/a,N/a,32.6,3065,1142
510,Debra Haaland ,(D),New Mexico,District 01,Incumbent,Winner,58.1,2246734,1875766
511,Michelle Garcia Holmes ,(R),New Mexico,District 01,N/a,N/a,41.9,257294,245590
512,Xochitl Torres Small ,(D),New Mexico,District 02,Incumbent,N/a,46.3,8387337,8539065
513,Yvette Herrell ,(R),New Mexico,District 02,N/a,Winner,53.7,2805711,2921785
514,Steve Jones ,(I),New Mexico,District 02,N/a,N/a,0.0,9405,9505
515,Teresa Leger Fernandez ,(D),New Mexico,District 03,N/a,Winner,58.7,2296594,2132010
516,Alexis Johnson ,(R),New Mexico,District 03,N/a,N/a,41.3,147303,147303
517,Lee Zeldin ,(R),New York,District 01,Incumbent,Winner,55.9,8396981,8250116
518,Nancy Goroff ,(D),New York,District 01,N/a,N/a,44.1,7866239,7860977
519,Jackie Gordon ,(D),New York,District 02,N/a,N/a,46.0,4351881,4334484
520,Andrew Garbarino ,(R),New York,District 02,N/a,Winner,52.9,1743986,1612132
521,Harry Burger ,(3),New York,District 02,N/a,N/a,1.0,2430,594
522,Tom Suozzi ,(D),New York,District 03,Incumbent,Winner,53.2,2941006,2331302
523,George Devolder-Santos ,(R),New York,District 03,N/a,N/a,46.2,658883,591239
524,Joshua Sauberman ,(I),New York,District 03,N/a,N/a,0.0,127,270
525,Kathleen Rice ,(D),New York,District 04,Incumbent,Winner,52.0,1106258,1210410
526,Douglas Tuman ,(R),New York,District 04,N/a,N/a,47.3,134937,130995
527,Ed Dennehy ,(I),New York,District 04,N/a,N/a,0.0,9031,9031
528,Gregory Meeks ,(D),New York,District 05,Incumbent,Winner,99.0,2097572,1467454
529,Amit Lal ,(I),New York,District 05,N/a,N/a,0.0,126,0
530,Grace Meng ,(D),New York,District 06,Incumbent,Winner,62.6,1292084,1872311
531,Thomas Zmich ,(R),New York,District 06,N/a,N/a,37.4,133403,131278
532,Nydia Velazquez ,(D),New York,District 07,Incumbent,Winner,83.0,803217,676248
533,Hakeem Jeffries ,(D),New York,District 08,Incumbent,Winner,82.5,4168717,3293077
534,Yvette Clarke ,(D),New York,District 09,Incumbent,Winner,81.5,1200067,1190143
535,Jerrold Nadler ,(D),New York,District 10,Incumbent,Winner,68.5,1848688,1950774
536,Cathy Bernstein ,(R),New York,District 10,N/a,N/a,30.1,49975,28384
537,Jeanne Nigro ,(I),New York,District 10,N/a,N/a,0.0,34548,28039
538,Michael Madrid ,(L),New York,District 10,N/a,N/a,1.2,14326,12149
539,Max Rose ,(D),New York,District 11,Incumbent,N/a,42.0,9284434,9499242
540,Nicole Malliotakis ,(R),New York,District 11,N/a,Winner,57.8,3469995,3447052
541,Kemi Akindude ,(I),New York,District 11,N/a,N/a,0.0,21261,14697
542,Carolyn Maloney ,(D),New York,District 12,Incumbent,Winner,78.9,3067173,3059202
543,Adriano Espaillat ,(D),New York,District 13,Incumbent,Winner,86.0,1087237,1252740
544,Lovelynn Gwinn ,(R),New York,District 13,N/a,N/a,8.0,39384,39384
545,Alexandria Ocasio-Cortez ,(D),New York,District 14,Incumbent,Winner,68.7,20664795,16735422
546,John C. Cummings ,(R),New York,District 14,N/a,N/a,30.5,11140937,10947758
547,Ritchie Torres ,(D),New York,District 15,N/a,Winner,88.2,2194025,1804336
548,Jamaal Bowman ,(D),New York,District 16,N/a,Winner,82.9,2878898,2801424
549,Mondaire Jones ,(D),New York,District 17,N/a,Winner,54.1,2984052,2186463
550,Maureen McArdle Schulman ,(R),New York,District 17,N/a,N/a,39.8,54732,60084
551,Michael Parietti ,(3),New York,District 17,N/a,N/a,0.9,44787,19670
552,Sean Patrick Maloney ,(D),New York,District 18,Incumbent,Winner,51.8,2556294,1718525
553,Chele Farley ,(R),New York,District 18,N/a,N/a,47.3,1186211,1152124
554,Scott Smith ,(I),New York,District 18,N/a,N/a,0.9,8718,8403
555,Antonio Delgado ,(D),New York,District 19,Incumbent,Winner,51.5,5949475,2963286
556,Kyle Van De Water ,(R),New York,District 19,N/a,N/a,45.9,153796,120097
557,Paul Tonko ,(D),New York,District 20,Incumbent,Winner,56.5,1541984,1418994
558,Elizabeth Joy ,(R),New York,District 20,N/a,N/a,43.4,370852,336845
559,Elise Stefanik ,(R),New York,District 21,Incumbent,Winner,64.4,13287248,11655936
560,Tedra Cobb ,(D),New York,District 21,N/a,N/a,35.6,5586793,5593266
561,Anthony Brindisi ,(D),New York,District 22,Incumbent,N/a,0.0,6020190,5772429
562,Claudia Tenney ,(R),New York,District 22,N/a,N/a,0.0,3051777,2725893
563,Tom Reed ,(R),New York,District 23,Incumbent,Winner,57.7,3275177,3145027
564,Tracy Mitrano ,(D),New York,District 23,N/a,N/a,41.4,1450322,1466128
565,John Katko ,(R),New York,District 24,Incumbent,Winner,53.1,3821107,3597234
566,Dana Balter ,(D),New York,District 24,N/a,N/a,43.0,3212469,3230808
567,Joseph D Morelle ,(D),New York,District 25,Incumbent,Winner,59.3,1375366,1274426
568,George Mitris ,(R),New York,District 25,N/a,N/a,39.1,301376,279047
569,Kevin Wilson ,(L),New York,District 25,N/a,N/a,1.5,5128,3417
570,Brian Higgins ,(D),New York,District 26,Incumbent,Winner,69.8,1124168,984106
571,Chris Jacobs ,(R),New York,District 27,Incumbent,Winner,59.7,2147101,2084271
572,Nate McMurray ,(D),New York,District 27,N/a,N/a,39.0,1150058,1097111
573,Duane Whitmer ,(L),New York,District 27,N/a,N/a,1.3,36056,36056
574,G K Butterfield ,(D),North Carolina,District 01,Incumbent,Winner,54.2,1032869,880420
575,Sandy Smith ,(R),North Carolina,District 01,N/a,N/a,45.8,1458375,1437805
576,Deborah Ross ,(D),North Carolina,District 02,N/a,Winner,63.0,2268381,1816923
577,Alan Swain ,(R),North Carolina,District 02,N/a,N/a,34.8,119664,119435
578,Japheth Matemu ,(L),North Carolina,District 02,N/a,N/a,2.2,625,54
579,Greg Murphy ,(R),North Carolina,District 03,Incumbent,Winner,63.4,1767790,1505559
580,David Price ,(D),North Carolina,District 04,Incumbent,Winner,67.3,1161738,1014872
581,Virginia Foxx ,(R),North Carolina,District 05,Incumbent,Winner,66.9,1858388,1944629
582,David Wilson Brown ,(D),North Carolina,District 05,N/a,N/a,31.1,61596,60668
583,Kathy Manning ,(D),North Carolina,District 06,N/a,Winner,62.3,2002284,1695596
584,Lee Haywood ,(R),North Carolina,District 06,N/a,N/a,37.7,73878,58342
585,Jennyfer Bucardo ,(I),North Carolina,District 06,N/a,N/a,0.0,750,759
586,David Rouzer ,(R),North Carolina,District 07,Incumbent,Winner,60.3,1628458,1038883
587,Christopher Ward ,(D),North Carolina,District 07,N/a,N/a,39.6,16260,4119
588,Richard Hudson ,(R),North Carolina,District 08,Incumbent,Winner,53.3,4135872,4359009
589,Patricia Timmons-Goodson ,(D),North Carolina,District 08,N/a,N/a,46.7,3855743,3852668
590,Dan Bishop ,(R),North Carolina,District 09,Incumbent,Winner,55.6,4090260,4029864
591,Cynthia Wallace ,(D),North Carolina,District 09,N/a,N/a,44.4,811609,794300
592,Patrick McHenry ,(R),North Carolina,District 10,Incumbent,Winner,68.9,2780234,2339363
593,David Parker ,(D),North Carolina,District 10,N/a,N/a,31.1,30555,30555
594,Madison Cawthorn ,(R),North Carolina,District 11,N/a,Winner,54.5,4478970,4366783
595,Moe Davis ,(D),North Carolina,District 11,N/a,N/a,42.3,2251413,2148121
596,Alma Adams ,(D),North Carolina,District 12,Incumbent,Winner,100.0,824124,651883
597,Bill Brewster ,(R),North Carolina,District 12,N/a,N/a,0.0,21950,16763
598,Ted Budd ,(R),North Carolina,District 13,Incumbent,Winner,68.2,2294174,1293414
599,Scott Huffman ,(D),North Carolina,District 13,N/a,N/a,31.8,193334,189967
600,Kelly Armstrong ,(R),North Dakota,District 01,Incumbent,Winner,69.0,1269346,1080105
601,Zach Raknerud ,(D),North Dakota,District 01,N/a,N/a,27.6,28047,26029
602,Steve Chabot ,(R),Ohio,District 01,Incumbent,Winner,51.8,3177647,2861464
603,Kate Schroder ,(D),Ohio,District 01,N/a,N/a,44.7,4040303,4039798
604,Kevin Kahn ,(L),Ohio,District 01,N/a,N/a,3.6,12085,8398
605,Brad Wenstrup ,(R),Ohio,District 02,Incumbent,Winner,61.1,1794354,1757078
606,Jaime Castle ,(D),Ohio,District 02,N/a,N/a,38.9,284197,271471
607,Joyce Beatty ,(D),Ohio,District 03,Incumbent,Winner,70.8,2237887,2540687
608,Nicholas Moss ,(I),Ohio,District 03,N/a,N/a,0.0,1258,1248
609,Jim Jordan ,(R),Ohio,District 04,Incumbent,Winner,67.9,18313823,12945651
610,Chris Gibbs ,(I),Ohio,District 04,N/a,N/a,0.0,65807,65807
611,Bob Latta ,(R),Ohio,District 05,Incumbent,Winner,68.0,1580952,1477090
612,Nick Rubando ,(D),Ohio,District 05,N/a,N/a,32.0,249319,247423
613,Bill Johnson ,(R),Ohio,District 06,Incumbent,Winner,74.4,1866123,1853361
614,Shawna Roberts ,(D),Ohio,District 06,N/a,N/a,25.6,262,574
615,Bob Gibbs ,(R),Ohio,District 07,Incumbent,Winner,67.5,791888,453928
616,Quentin Potter ,(D),Ohio,District 07,N/a,N/a,29.2,12976,12976
617,Brandon Lape ,(L),Ohio,District 07,N/a,N/a,3.3,3348,2713
618,Warren Davidson ,(R),Ohio,District 08,Incumbent,Winner,69.0,1016740,841533
619,Vanessa Enoch ,(D),Ohio,District 08,N/a,N/a,31.0,40270,37546
620,Marcy Kaptur ,(D),Ohio,District 09,Incumbent,Winner,63.1,1090395,979798
621,Rob Weber ,(R),Ohio,District 09,N/a,N/a,36.9,134898,123262
622,Michael R Turner ,(R),Ohio,District 10,Incumbent,Winner,58.4,1752255,1736283
623,Desiree Tims ,(D),Ohio,District 10,N/a,N/a,41.6,2040760,2024010
624,Marcia Fudge ,(D),Ohio,District 11,Incumbent,Winner,80.1,755787,499820
625,Laverne Gore ,(R),Ohio,District 11,N/a,N/a,20.0,157044,156827
626,Troy Balderson ,(R),Ohio,District 12,Incumbent,Winner,55.2,2016826,1995665
627,Alaina Shearer ,(D),Ohio,District 12,N/a,N/a,41.8,1033711,1025410
628,John Stewart ,(L),Ohio,District 12,N/a,N/a,3.0,75170,66382
629,Tim Ryan ,(D),Ohio,District 13,Incumbent,Winner,52.5,1972446,2071454
630,Christina Hagan ,(R),Ohio,District 13,N/a,N/a,44.9,861723,820660
631,David P Joyce ,(R),Ohio,District 14,Incumbent,Winner,60.1,2917696,2501449
632,Hillary O'Connor Mueri ,(D),Ohio,District 14,N/a,N/a,39.9,579877,574646
633,Steve Stivers ,(R),Ohio,District 15,Incumbent,Winner,63.4,3004799,2293101
634,Joel Newby ,(D),Ohio,District 15,N/a,N/a,36.6,55797,55797
635,Anthony Gonzalez ,(R),Ohio,District 16,Incumbent,Winner,63.2,2338195,1839807
636,Aaron Godfrey ,(D),Ohio,District 16,N/a,N/a,36.8,60294,60430
637,Kevin Hern ,(R),Oklahoma,District 01,Incumbent,Winner,63.7,1094104,830366
638,Kojo Asamoa-Caesar ,(D),Oklahoma,District 01,N/a,N/a,32.7,157355,173928
639,Markwayne Mullin ,(R),Oklahoma,District 02,Incumbent,Winner,75.0,1660206,1077939
640,Danyell Lanier ,(D),Oklahoma,District 02,N/a,N/a,22.0,41730,41722
641,Frank D Lucas ,(R),Oklahoma,District 03,Incumbent,Winner,78.5,872749,1036145
642,Tom Cole ,(R),Oklahoma,District 04,Incumbent,Winner,67.8,1812530,1753697
643,Mary Brannon ,(D),Oklahoma,District 04,N/a,N/a,28.8,-2084,1599
644,Kendra Horn ,(D),Oklahoma,District 05,Incumbent,N/a,47.9,5949800,5946195
