,Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent,State_District
312,Jim Baird ,(R),IN, 04,Incumbent,Winner,66.6,327727,190158,IN04
313,Joe Mackey ,(D),IN, 04,N/a,N/a,33.4,44585,43213,IN04
314,Christina Hale ,(D),IN, 05,N/a,N/a,45.9,4010368,3998905,IN05
315,Victoria Spartz ,(R),IN, 05,N/a,Winner,50.0,3119328,3010203,IN05
316,Greg Pence ,(R),IN, 06,Incumbent,Winner,68.7,3114448,2804148,IN06
317,Jeannine Lee Lake ,(D),IN, 06,N/a,N/a,27.7,143089,145315,IN06
318,Andre Carson ,(D),IN, 07,Incumbent,Winner,62.4,1011635,873962,IN07
319,Susan Marie Smith ,(R),IN, 07,N/a,N/a,37.6,62905,59843,IN07
320,Larry Bucshon ,(R),IN, 08,Incumbent,Winner,66.9,1051336,1078646,IN08
321,Thomasina Marsili ,(D),IN, 08,N/a,N/a,29.8,68734,68480,IN08
322,Trey Hollingsworth ,(R),IN, 09,Incumbent,Winner,60.9,1166754,501136,IN09
323,Andy Ruff ,(D),IN, 09,N/a,N/a,34.8,148263,134906,IN09
324,Tonya Millis ,(L),IN, 09,N/a,N/a,4.3,10224,10041,IN09
325,Abby Finkenauer ,(D),IA, 01,Incumbent,N/a,48.7,5901441,5875405,IA01
326,Ashley Hinson ,(R),IA, 01,N/a,Winner,51.3,5175883,5059211,IA01
327,Rita Hart ,(D),IA, 02,N/a,N/a,50.0,4232992,4114400,IA02
328,Mariannette Miller-Meeks ,(R),IA, 02,N/a,Winner,50.0,2174194,1721926,IA02
329,Cindy Axne ,(D),IA, 03,Incumbent,Winner,49.0,6236976,6236994,IA03
330,David Young ,(R),IA, 03,N/a,N/a,47.6,3170072,3094582,IA03
331,J.D. Scholten ,(D),IA, 04,N/a,N/a,62.1,2885915,2902003,IA04
332,Randy Feenstra ,(R),IA, 04,N/a,Winner,37.9,1906234,1894288,IA04
333,Tracey Mann ,(R),KS, 01,N/a,Winner,71.4,1403353,1127156,KS01
334,Kali Barnett ,(D),KS, 01,N/a,N/a,28.6,603036,592924,KS01
335,Michelle De La Isla ,(D),KS, 02,N/a,N/a,40.5,1825085,1810968,KS02
336,Jake Laturner ,(R),KS, 02,N/a,Winner,55.3,1593407,1578460,KS02
337,Sharice Davids ,(D),KS, 03,Incumbent,Winner,53.4,5638552,5168034,KS03
338,Amanda Adkins ,(R),KS, 03,N/a,N/a,43.8,2182382,2139673,KS03
339,Ron Estes ,(R),KS, 04,Incumbent,Winner,64.0,1993808,1420188,KS04
340,Laura Lombard ,(D),KS, 04,N/a,N/a,36.0,264459,258684,KS04
341,James Comer ,(R),KY, 01,Incumbent,Winner,75.0,736116,502554,KY01
342,Brett Guthrie ,(R),KY, 02,Incumbent,Winner,71.0,1412797,1566622,KY02
343,Hank Linderman ,(D),KY, 02,N/a,N/a,26.3,93388,71122,KY02
344,Robert Lee Perry ,(L),KY, 02,N/a,N/a,2.1,12798,7825,KY02
345,John Yarmuth ,(D),KY, 03,Incumbent,Winner,62.7,658295,690226,KY03
346,Rhonda Palazzo ,(R),KY, 03,N/a,N/a,37.3,46144,45668,KY03
347,Thomas Massie ,(R),KY, 04,Incumbent,Winner,67.1,1457316,1563275,KY04
348,Alexandra Owensby ,(D),KY, 04,N/a,N/a,32.9,156174,106359,KY04
349,Hal Rogers ,(R),KY, 05,Incumbent,Winner,84.2,664168,835781,KY05
350,Andy Barr ,(R),KY, 06,Incumbent,Winner,57.3,4536264,4316239,KY06
351,Josh Hicks ,(D),KY, 06,N/a,N/a,41.0,2936320,2935615,KY06
352,Steve Scalise ,(R),LA, 01,Incumbent,Winner,72.2,37262827,32830607,LA01
353,Cedric Richmond ,(D),LA, 02,Incumbent,Winner,63.6,1628289,1302079,LA02
354,Clay Higgins ,(R),LA, 03,Incumbent,Winner,67.8,751498,720424,LA03
355,Robert Jon Anderson ,(D),LA, 03,N/a,N/a,11.6,63617,48015,LA03
356,Braylon Harris ,(D),LA, 03,N/a,N/a,17.9,23006,15130,LA03
357,Mike Johnson ,(R),LA, 04,Incumbent,Winner,60.4,1299787,1039393,LA04
358,Kenny Houston ,(D),LA, 04,N/a,N/a,25.5,33677,33407,LA04
359,Luke Letlow ,(R),LA, 05,N/a,N/a,0.0,1392822,1303757,LA05
360,Lance Harris ,(R),LA, 05,N/a,N/a,0.0,696805,687833,LA05
361,Martin Lemelle ,(D),LA, 05,N/a,N/a,0.0,173796,162747,LA05
362,Scotty Robinson ,(R),LA, 05,N/a,N/a,0.0,113903,113835,LA05
363,Candy Christophe ,(D),LA, 05,N/a,N/a,0.0,77101,131161,LA05
364,Phillip Snowden ,(D),LA, 05,N/a,N/a,0.0,29481,28077,LA05
365,Matthew Hasty ,(R),LA, 05,N/a,N/a,0.0,2654,2615,LA05
366,Garret Graves ,(R),LA, 06,Incumbent,Winner,71.1,1743015,1200287,LA06
367,Dartanyon Williams ,(D),LA, 06,N/a,N/a,25.6,111316,98114,LA06
368,Chellie Pingree ,(D),ME, 01,Incumbent,Winner,61.5,487080,264790,ME01
369,Jay Allen ,(R),ME, 01,N/a,N/a,38.5,79585,69853,ME01
370,Jared Golden ,(D),ME, 02,Incumbent,Winner,52.9,5272142,5233990,ME02
371,Dale Crafts ,(R),ME, 02,N/a,N/a,47.1,1199805,1196117,ME02
372,Andy Harris ,(R),MD, 01,Incumbent,Winner,63.5,1468096,973953,MD01
373,Mia Mason ,(D),MD, 01,N/a,N/a,36.3,2524,0,MD01
374,Dutch Ruppersberger ,(D),MD, 02,Incumbent,Winner,67.2,1012835,927353,MD02
375,Johnny Ray Salling ,(R),MD, 02,N/a,N/a,32.6,68320,66895,MD02
376,John Sarbanes ,(D),MD, 03,Incumbent,Winner,69.5,573599,687299,MD03
377,Charles Anthony ,(R),MD, 03,N/a,N/a,30.3,7798,6742,MD03
378,Anthony Brown ,(D),MD, 04,Incumbent,Winner,79.3,1446636,846827,MD04
379,Steny H Hoyer ,(D),MD, 05,Incumbent,Winner,68.5,4587189,4342255,MD05
380,Chris Palombi ,(R),MD, 05,N/a,N/a,31.2,43462,42095,MD05
381,David Trone ,(D),MD, 06,Incumbent,Winner,57.9,2944893,2959748,MD06
382,Neil Parrott ,(R),MD, 06,N/a,N/a,40.2,315936,261259,MD06
383,Kweisi Mfume ,(D),MD, 07,Incumbent,Winner,71.6,1014126,713389,MD07
384,Kimberly Klacik ,(R),MD, 07,N/a,N/a,28.1,8296845,7499454,MD07
385,Amber Ivey ,(I),MD, 07,N/a,N/a,0.0,41924,43394,MD07
386,Jamie Raskin ,(D),MD, 08,Incumbent,Winner,67.3,2072652,1399252,MD08
387,Gregory Coll ,(R),MD, 08,N/a,N/a,32.5,30876,27257,MD08
388,Richard E Neal ,(D),MA, 01,Incumbent,Winner,96.5,4949384,5873122,MA01
389,James P McGovern ,(D),MA, 02,Incumbent,Winner,65.3,1052549,1089412,MA02
390,Tracy Lovvorn ,(R),MA, 02,N/a,N/a,34.6,26311,22319,MA02
391,Lori Trahan ,(D),MA, 03,Incumbent,Winner,97.7,1449303,1232437,MA03
392,Jake Auchincloss ,(D),MA, 04,N/a,Winner,60.8,2608686,2150904,MA04
393,Julie Hall ,(R),MA, 04,N/a,N/a,38.9,131603,129378,MA04
394,Katherine Clark ,(D),MA, 05,Incumbent,Winner,74.3,1788706,1514877,MA05
395,Caroline Colarusso ,(R),MA, 05,N/a,N/a,25.6,148635,146972,MA05
396,Seth Moulton ,(D),MA, 06,Incumbent,Winner,65.4,1289805,1802169,MA06
397,John Paul Moran ,(R),MA, 06,N/a,N/a,34.4,300220,299104,MA06
398,Ayanna Pressley ,(D),MA, 07,Incumbent,Winner,86.6,2163370,1748432,MA07
399,Stephen Lynch ,(D),MA, 08,Incumbent,Winner,80.7,905614,1134662,MA08
400,Bill Keating ,(D),MA, 09,Incumbent,Winner,61.3,708680,652448,MA09
401,Helen Brady ,(R),MA, 09,N/a,N/a,36.3,28233,23735,MA09
402,John Bergman ,(R),MI, 01,Incumbent,Winner,61.6,1868512,1733466,MI01
403,Dana Ferguson ,(D),MI, 01,N/a,N/a,36.9,346213,339788,MI01
404,Bill Huizenga ,(R),MI, 02,Incumbent,Winner,59.2,2175411,1883610,MI02
405,Bryan Berghoef ,(D),MI, 02,N/a,N/a,38.2,751576,669864,MI02
406,Jean-Michel Creviere ,(3),MI, 02,N/a,N/a,0.7,281,1207,MI02
407,Hillary Scholten ,(D),MI, 03,N/a,N/a,47.0,3793132,3765942,MI03
408,Peter Meijer ,(R),MI, 03,N/a,Winner,53.0,2975972,2887774,MI03
409,John Moolenaar ,(R),MI, 04,Incumbent,Winner,65.0,1528612,1036160,MI04
410,Jerry Hilliard ,(D),MI, 04,N/a,N/a,32.4,23117,23603,MI04
411,Dan Kildee ,(D),MI, 05,Incumbent,Winner,54.5,1669951,1504094,MI05
412,Tim Kelly ,(R),MI, 05,N/a,N/a,41.7,71106,71106,MI05
413,Fred Upton ,(R),MI, 06,Incumbent,Winner,55.8,3616380,3464617,MI06
414,Jon Hoadley ,(D),MI, 06,N/a,N/a,40.1,3116491,3098366,MI06
415,Tim Walberg ,(R),MI, 07,Incumbent,Winner,58.8,2301635,1586358,MI07
416,Gretchen Driskell ,(D),MI, 07,N/a,N/a,41.3,1712840,1712840,MI07
417,Elissa Slotkin ,(D),MI, 08,Incumbent,Winner,50.9,8967420,7419974,MI08
418,Paul Junge ,(R),MI, 08,N/a,N/a,47.3,2107608,2097131,MI08
419,Andy Levin ,(D),MI, 09,Incumbent,Winner,57.8,1316607,907237,MI09
420,Lisa McClain ,(R),MI, 10,N/a,Winner,66.3,2266287,2137031,MI10
421,Kimberly Bizon ,(D),MI, 10,N/a,N/a,33.7,41438,41246,MI10
422,Haley Stevens ,(D),MI, 11,Incumbent,Winner,50.2,5776924,5707448,MI11
423,Eric Esshaki ,(R),MI, 11,N/a,N/a,47.8,1298612,1291509,MI11
424,Debbie Dingell ,(D),MI, 12,Incumbent,Winner,66.4,1630498,1689582,MI12
425,Jeff Jones ,(R),MI, 12,N/a,N/a,30.7,10616,9657,MI12
426,Rashida Tlaib ,(D),MI, 13,Incumbent,Winner,77.9,4014411,3690334,MI13
427,Donald Eason ,(I),MI, 13,N/a,N/a,0.0,34156,34156,MI13
428,Brenda Lawrence ,(D),MI, 14,Incumbent,Winner,78.9,1084662,789570,MI14
429,Vance Patrick ,(R),MI, 14,N/a,N/a,18.7,39670,41973,MI14
430,Jim Hagedorn ,(R),MN, 01,Incumbent,Winner,48.6,2386033,2305994,MN01
431,Daniel Feehan ,(D),MN, 01,N/a,N/a,45.5,4861651,4863835,MN01
432,Angie Craig ,(D),MN, 02,Incumbent,Winner,48.2,5380101,4435492,MN02
433,Tyler Kistner ,(R),MN, 02,N/a,N/a,45.9,2990054,2956042,MN02
434,Dean Phillips ,(D),MN, 03,Incumbent,Winner,55.6,2328616,2152031,MN03
435,Kendall Qualls ,(R),MN, 03,N/a,N/a,44.3,1863927,1751214,MN03
436,Gary Heyer ,(I),MN, 03,N/a,N/a,0.0,827,827,MN03
437,Betty McCollum ,(D),MN, 04,Incumbent,Winner,63.2,1171748,994072,MN04
438,Gene Rechtzigel ,(R),MN, 04,N/a,N/a,29.0,20075,20075,MN04
439,Ilhan Omar ,(D),MN, 05,Incumbent,Winner,64.3,5718517,5605576,MN05
440,Lacy Johnson ,(R),MN, 05,N/a,N/a,25.8,12050564,12000896,MN05
441,Chris Kelley ,(3),MN, 05,N/a,N/a,0.0,249583,249583,MN05
442,Ervan Katari Miller ,(I),MN, 05,N/a,N/a,0.0,255,187,MN05
443,Tom Emmer ,(R),MN, 06,Incumbent,Winner,65.5,2804265,2537612,MN06
444,Tawnja Zahradka ,(D),MN, 06,N/a,N/a,34.3,49242,49214,MN06
445,Collin Peterson ,(D),MN, 07,Incumbent,N/a,39.9,2714012,2867577,MN07
446,Michelle Fischbach ,(R),MN, 07,N/a,Winner,53.4,2618450,2580501,MN07
447,Pete Stauber ,(R),MN, 08,Incumbent,Winner,56.7,2593190,2608759,MN08
448,Quinn Nystrom ,(D),MN, 08,N/a,N/a,37.6,1530606,1527005,MN08
449,Trent Kelly ,(R),MS, 01,Incumbent,Winner,68.7,876882,826673,MS01
450,Antonia Eliason ,(D),MS, 01,N/a,N/a,31.3,22281,18174,MS01
451,Bennie G Thompson ,(D),MS, 02,Incumbent,Winner,66.0,1377392,1096904,MS02
452,Michael Guest ,(R),MS, 03,Incumbent,Winner,64.7,766807,518162,MS03
453,Steven Palazzo ,(R),MS, 04,Incumbent,Winner,100.0,817129,747217,MS04
454,Cori Bush ,(D),MO, 01,N/a,Winner,78.8,1418014,1333512,MO01
455,Ann Wagner ,(R),MO, 02,Incumbent,Winner,52.0,5598287,6513101,MO02
456,Jill Schupp ,(D),MO, 02,N/a,N/a,45.4,4850948,4830434,MO02
457,Blaine Luetkemeyer ,(R),MO, 03,Incumbent,Winner,69.4,2022905,2081391,MO03
458,Vicky Hartzler ,(R),MO, 04,Incumbent,Winner,67.6,1700978,1335607,MO04
459,Lindsey Simmons ,(D),MO, 04,N/a,N/a,29.7,395934,384622,MO04
460,Emanuel Cleaver ,(D),MO, 05,Incumbent,Winner,58.5,1393847,928061,MO05
461,Ryan Derks ,(R),MO, 05,N/a,N/a,38.7,76488,76488,MO05
462,Sam Graves ,(R),MO, 06,Incumbent,Winner,67.1,1959516,1654756,MO06
463,Gena Ross ,(D),MO, 06,N/a,N/a,30.8,10170,10530,MO06
464,Billy Long ,(R),MO, 07,Incumbent,Winner,68.7,1320420,1518234,MO07
465,Audrey Richards ,(I),MO, 07,N/a,N/a,0.0,7985,8113,MO07
466,Jason Smith ,(R),MO, 08,Incumbent,Winner,76.9,1900227,1514786,MO08
467,Kathryn Ellis ,(D),MO, 08,N/a,N/a,21.4,302428,305387,MO08
468,Kathleen Williams ,(D),MT, 01,N/a,N/a,43.6,6201758,6232286,MT01
469,Matt Rosendale ,(R),MT, 01,N/a,Winner,56.4,3674706,3488045,MT01
470,Jeff Fortenberry ,(R),NE, 01,Incumbent,Winner,59.5,1472816,2458330,NE01
471,Kate Bolz ,(D),NE, 01,N/a,N/a,37.7,1143509,1140371,NE01
472,Don Bacon ,(R),NE, 02,Incumbent,Winner,50.6,3749272,3713961,NE02
473,Kara Eastman ,(D),NE, 02,N/a,N/a,46.3,4414390,4468006,NE02
474,Adrian Smith ,(R),NE, 03,Incumbent,Winner,78.5,1506473,1148409,NE03
475,Mark Elworth Jr ,(D),NE, 03,N/a,N/a,17.7,255,0,NE03
476,Dina Titus ,(D),NV, 01,Incumbent,Winner,61.8,706193,587919,NV01
477,Mark Amodei ,(R),NV, 02,Incumbent,Winner,56.5,1048056,1016673,NV02
478,Patricia Ackerman ,(D),NV, 02,N/a,N/a,40.7,449363,449449,NV02
479,Susie Lee ,(D),NV, 03,Incumbent,Winner,48.8,4748019,4732009,NV03
480,Dan Rodimer ,(R),NV, 03,N/a,N/a,45.8,2936059,2915216,NV03
481,Steven Horsford ,(D),NV, 04,Incumbent,Winner,50.7,3492372,3024427,NV04
482,Jim Marchant ,(R),NV, 04,N/a,N/a,45.8,1462772,1419405,NV04
483,Jonathan Royce Esteban ,(L),NV, 04,N/a,N/a,2.4,2788,1603,NV04
484,Chris Pappas ,(D),NH, 01,Incumbent,Winner,51.3,3205731,3105663,NH01
485,Matt Mowers ,(R),NH, 01,N/a,N/a,46.2,1707214,1698761,NH01
486,Ann Kuster ,(D),NH, 02,Incumbent,Winner,53.9,2960033,2970274,NH02
487,Steve Negron ,(R),NH, 02,N/a,N/a,43.7,368177,378959,NH02
488,Don Norcross ,(D),NJ, 01,Incumbent,Winner,62.5,2221989,1087264,NJ01
489,Claire Gustafson ,(R),NJ, 01,N/a,N/a,37.5,36520,21761,NJ01
490,Jeff Van Drew ,(R),NJ, 02,Incumbent,Winner,51.9,4229171,4041493,NJ02
491,Amy Kennedy ,(D),NJ, 02,N/a,N/a,46.2,4984376,4978913,NJ02
492,Andy Kim ,(D),NJ, 03,Incumbent,Winner,53.2,7241283,6753262,NJ03
493,David Richter ,(R),NJ, 03,N/a,N/a,45.5,1473669,1470648,NJ03
494,Chris Smith ,(R),NJ, 04,Incumbent,Winner,59.9,1383085,1284522,NJ04
495,Stephanie Schmid ,(D),NJ, 04,N/a,N/a,38.3,699580,658011,NJ04
496,Josh Gottheimer ,(D),NJ, 05,Incumbent,Winner,53.2,7694027,3487964,NJ05
497,Frank Pallotta ,(R),NJ, 05,N/a,N/a,45.6,1972033,1948705,NJ05
498,Louis A. Vellucci ,(I),NJ, 05,N/a,N/a,1.2,5456,5342,NJ05
499,Frank Pallone Jr. ,(D),NJ, 06,Incumbent,Winner,61.2,3231755,2021737,NJ06
500,Tom Malinowski ,(D),NJ, 07,Incumbent,Winner,50.6,7414403,7423758,NJ07
501,Tom Kean ,(R),NJ, 07,N/a,N/a,49.4,3869121,3775442,NJ07
502,Albio Sires ,(D),NJ, 08,Incumbent,Winner,74.0,605810,551325,NJ08
503,Bill Pascrell Jr. ,(D),NJ, 09,Incumbent,Winner,65.8,1560550,1795410,NJ09
504,Billy Prempeh ,(R),NJ, 09,N/a,N/a,31.9,44269,35075,NJ09
505,Donald M Payne Jr. ,(D),NJ, 10,Incumbent,Winner,83.3,593735,457252,NJ10
506,Mikie Sherrill ,(D),NJ, 11,Incumbent,Winner,53.3,6419707,3733106,NJ11
507,Rosemary Becchi ,(R),NJ, 11,N/a,N/a,46.7,1687532,1686236,NJ11
508,Bonnie Watson Coleman ,(D),NJ, 12,Incumbent,Winner,65.6,798439,840651,NJ12
509,Mark Razzoli ,(R),NJ, 12,N/a,N/a,32.6,3065,1142,NJ12
510,Debra Haaland ,(D),NM, 01,Incumbent,Winner,58.1,2246734,1875766,NM01
511,Michelle Garcia Holmes ,(R),NM, 01,N/a,N/a,41.9,257294,245590,NM01
512,Xochitl Torres Small ,(D),NM, 02,Incumbent,N/a,46.3,8387337,8539065,NM02
513,Yvette Herrell ,(R),NM, 02,N/a,Winner,53.7,2805711,2921785,NM02
514,Steve Jones ,(I),NM, 02,N/a,N/a,0.0,9405,9505,NM02
515,Teresa Leger Fernandez ,(D),NM, 03,N/a,Winner,58.7,2296594,2132010,NM03
516,Alexis Johnson ,(R),NM, 03,N/a,N/a,41.3,147303,147303,NM03
517,Lee Zeldin ,(R),NY, 01,Incumbent,Winner,55.9,8396981,8250116,NY01
518,Nancy Goroff ,(D),NY, 01,N/a,N/a,44.1,7866239,7860977,NY01
519,Jackie Gordon ,(D),NY, 02,N/a,N/a,46.0,4351881,4334484,NY02
520,Andrew Garbarino ,(R),NY, 02,N/a,Winner,52.9,1743986,1612132,NY02
521,Harry Burger ,(3),NY, 02,N/a,N/a,1.0,2430,594,NY02
522,Tom Suozzi ,(D),NY, 03,Incumbent,Winner,53.2,2941006,2331302,NY03
523,George Devolder-Santos ,(R),NY, 03,N/a,N/a,46.2,658883,591239,NY03
524,Joshua Sauberman ,(I),NY, 03,N/a,N/a,0.0,127,270,NY03
525,Kathleen Rice ,(D),NY, 04,Incumbent,Winner,52.0,1106258,1210410,NY04
526,Douglas Tuman ,(R),NY, 04,N/a,N/a,47.3,134937,130995,NY04
527,Ed Dennehy ,(I),NY, 04,N/a,N/a,0.0,9031,9031,NY04
528,Gregory Meeks ,(D),NY, 05,Incumbent,Winner,99.0,2097572,1467454,NY05
529,Amit Lal ,(I),NY, 05,N/a,N/a,0.0,126,0,NY05
530,Grace Meng ,(D),NY, 06,Incumbent,Winner,62.6,1292084,1872311,NY06
531,Thomas Zmich ,(R),NY, 06,N/a,N/a,37.4,133403,131278,NY06
532,Nydia Velazquez ,(D),NY, 07,Incumbent,Winner,83.0,803217,676248,NY07
533,Hakeem Jeffries ,(D),NY, 08,Incumbent,Winner,82.5,4168717,3293077,NY08
534,Yvette Clarke ,(D),NY, 09,Incumbent,Winner,81.5,1200067,1190143,NY09
535,Jerrold Nadler ,(D),NY, 10,Incumbent,Winner,68.5,1848688,1950774,NY10
536,Cathy Bernstein ,(R),NY, 10,N/a,N/a,30.1,49975,28384,NY10
537,Jeanne Nigro ,(I),NY, 10,N/a,N/a,0.0,34548,28039,NY10
538,Michael Madrid ,(L),NY, 10,N/a,N/a,1.2,14326,12149,NY10
539,Max Rose ,(D),NY, 11,Incumbent,N/a,42.0,9284434,9499242,NY11
540,Nicole Malliotakis ,(R),NY, 11,N/a,Winner,57.8,3469995,3447052,NY11
541,Kemi Akindude ,(I),NY, 11,N/a,N/a,0.0,21261,14697,NY11
542,Carolyn Maloney ,(D),NY, 12,Incumbent,Winner,78.9,3067173,3059202,NY12
543,Adriano Espaillat ,(D),NY, 13,Incumbent,Winner,86.0,1087237,1252740,NY13
544,Lovelynn Gwinn ,(R),NY, 13,N/a,N/a,8.0,39384,39384,NY13
545,Alexandria Ocasio-Cortez ,(D),NY, 14,Incumbent,Winner,68.7,20664795,16735422,NY14
546,John C. Cummings ,(R),NY, 14,N/a,N/a,30.5,11140937,10947758,NY14
547,Ritchie Torres ,(D),NY, 15,N/a,Winner,88.2,2194025,1804336,NY15
548,Jamaal Bowman ,(D),NY, 16,N/a,Winner,82.9,2878898,2801424,NY16
549,Mondaire Jones ,(D),NY, 17,N/a,Winner,54.1,2984052,2186463,NY17
550,Maureen McArdle Schulman ,(R),NY, 17,N/a,N/a,39.8,54732,60084,NY17
551,Michael Parietti ,(3),NY, 17,N/a,N/a,0.9,44787,19670,NY17
552,Sean Patrick Maloney ,(D),NY, 18,Incumbent,Winner,51.8,2556294,1718525,NY18
553,Chele Farley ,(R),NY, 18,N/a,N/a,47.3,1186211,1152124,NY18
554,Scott Smith ,(I),NY, 18,N/a,N/a,0.9,8718,8403,NY18
555,Antonio Delgado ,(D),NY, 19,Incumbent,Winner,51.5,5949475,2963286,NY19
556,Kyle Van De Water ,(R),NY, 19,N/a,N/a,45.9,153796,120097,NY19
557,Paul Tonko ,(D),NY, 20,Incumbent,Winner,56.5,1541984,1418994,NY20
558,Elizabeth Joy ,(R),NY, 20,N/a,N/a,43.4,370852,336845,NY20
559,Elise Stefanik ,(R),NY, 21,Incumbent,Winner,64.4,13287248,11655936,NY21
560,Tedra Cobb ,(D),NY, 21,N/a,N/a,35.6,5586793,5593266,NY21
561,Anthony Brindisi ,(D),NY, 22,Incumbent,N/a,0.0,6020190,5772429,NY22
562,Claudia Tenney ,(R),NY, 22,N/a,N/a,0.0,3051777,2725893,NY22
563,Tom Reed ,(R),NY, 23,Incumbent,Winner,57.7,3275177,3145027,NY23
564,Tracy Mitrano ,(D),NY, 23,N/a,N/a,41.4,1450322,1466128,NY23
565,John Katko ,(R),NY, 24,Incumbent,Winner,53.1,3821107,3597234,NY24
566,Dana Balter ,(D),NY, 24,N/a,N/a,43.0,3212469,3230808,NY24
567,Joseph D Morelle ,(D),NY, 25,Incumbent,Winner,59.3,1375366,1274426,NY25
568,George Mitris ,(R),NY, 25,N/a,N/a,39.1,301376,279047,NY25
569,Kevin Wilson ,(L),NY, 25,N/a,N/a,1.5,5128,3417,NY25
570,Brian Higgins ,(D),NY, 26,Incumbent,Winner,69.8,1124168,984106,NY26
571,Chris Jacobs ,(R),NY, 27,Incumbent,Winner,59.7,2147101,2084271,NY27
572,Nate McMurray ,(D),NY, 27,N/a,N/a,39.0,1150058,1097111,NY27
573,Duane Whitmer ,(L),NY, 27,N/a,N/a,1.3,36056,36056,NY27
574,G K Butterfield ,(D),NC, 01,Incumbent,Winner,54.2,1032869,880420,NC01
575,Sandy Smith ,(R),NC, 01,N/a,N/a,45.8,1458375,1437805,NC01
576,Deborah Ross ,(D),NC, 02,N/a,Winner,63.0,2268381,1816923,NC02
577,Alan Swain ,(R),NC, 02,N/a,N/a,34.8,119664,119435,NC02
578,Japheth Matemu ,(L),NC, 02,N/a,N/a,2.2,625,54,NC02
579,Greg Murphy ,(R),NC, 03,Incumbent,Winner,63.4,1767790,1505559,NC03
580,David Price ,(D),NC, 04,Incumbent,Winner,67.3,1161738,1014872,NC04
581,Virginia Foxx ,(R),NC, 05,Incumbent,Winner,66.9,1858388,1944629,NC05
582,David Wilson Brown ,(D),NC, 05,N/a,N/a,31.1,61596,60668,NC05
583,Kathy Manning ,(D),NC, 06,N/a,Winner,62.3,2002284,1695596,NC06
584,Lee Haywood ,(R),NC, 06,N/a,N/a,37.7,73878,58342,NC06
585,Jennyfer Bucardo ,(I),NC, 06,N/a,N/a,0.0,750,759,NC06
586,David Rouzer ,(R),NC, 07,Incumbent,Winner,60.3,1628458,1038883,NC07
587,Christopher Ward ,(D),NC, 07,N/a,N/a,39.6,16260,4119,NC07
588,Richard Hudson ,(R),NC, 08,Incumbent,Winner,53.3,4135872,4359009,NC08
589,Patricia Timmons-Goodson ,(D),NC, 08,N/a,N/a,46.7,3855743,3852668,NC08
590,Dan Bishop ,(R),NC, 09,Incumbent,Winner,55.6,4090260,4029864,NC09
591,Cynthia Wallace ,(D),NC, 09,N/a,N/a,44.4,811609,794300,NC09
592,Patrick McHenry ,(R),NC, 10,Incumbent,Winner,68.9,2780234,2339363,NC10
593,David Parker ,(D),NC, 10,N/a,N/a,31.1,30555,30555,NC10
594,Madison Cawthorn ,(R),NC, 11,N/a,Winner,54.5,4478970,4366783,NC11
595,Moe Davis ,(D),NC, 11,N/a,N/a,42.3,2251413,2148121,NC11
596,Alma Adams ,(D),NC, 12,Incumbent,Winner,100.0,824124,651883,NC12
597,Bill Brewster ,(R),NC, 12,N/a,N/a,0.0,21950,16763,NC12
598,Ted Budd ,(R),NC, 13,Incumbent,Winner,68.2,2294174,1293414,NC13
599,Scott Huffman ,(D),NC, 13,N/a,N/a,31.8,193334,189967,NC13
600,Kelly Armstrong ,(R),ND, 01,Incumbent,Winner,69.0,1269346,1080105,ND01
601,Zach Raknerud ,(D),ND, 01,N/a,N/a,27.6,28047,26029,ND01
602,Steve Chabot ,(R),OH, 01,Incumbent,Winner,51.8,3177647,2861464,OH01
603,Kate Schroder ,(D),OH, 01,N/a,N/a,44.7,4040303,4039798,OH01
604,Kevin Kahn ,(L),OH, 01,N/a,N/a,3.6,12085,8398,OH01
605,Brad Wenstrup ,(R),OH, 02,Incumbent,Winner,61.1,1794354,1757078,OH02
606,Jaime Castle ,(D),OH, 02,N/a,N/a,38.9,284197,271471,OH02
607,Joyce Beatty ,(D),OH, 03,Incumbent,Winner,70.8,2237887,2540687,OH03
608,Nicholas Moss ,(I),OH, 03,N/a,N/a,0.0,1258,1248,OH03
609,Jim Jordan ,(R),OH, 04,Incumbent,Winner,67.9,18313823,12945651,OH04
610,Chris Gibbs ,(I),OH, 04,N/a,N/a,0.0,65807,65807,OH04
611,Bob Latta ,(R),OH, 05,Incumbent,Winner,68.0,1580952,1477090,OH05
612,Nick Rubando ,(D),OH, 05,N/a,N/a,32.0,249319,247423,OH05
613,Bill Johnson ,(R),OH, 06,Incumbent,Winner,74.4,1866123,1853361,OH06
614,Shawna Roberts ,(D),OH, 06,N/a,N/a,25.6,262,574,OH06
615,Bob Gibbs ,(R),OH, 07,Incumbent,Winner,67.5,791888,453928,OH07
616,Quentin Potter ,(D),OH, 07,N/a,N/a,29.2,12976,12976,OH07
617,Brandon Lape ,(L),OH, 07,N/a,N/a,3.3,3348,2713,OH07
618,Warren Davidson ,(R),OH, 08,Incumbent,Winner,69.0,1016740,841533,OH08
619,Vanessa Enoch ,(D),OH, 08,N/a,N/a,31.0,40270,37546,OH08
620,Marcy Kaptur ,(D),OH, 09,Incumbent,Winner,63.1,1090395,979798,OH09
621,Rob Weber ,(R),OH, 09,N/a,N/a,36.9,134898,123262,OH09
622,Michael R Turner ,(R),OH, 10,Incumbent,Winner,58.4,1752255,1736283,OH10
