Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent
Robin Kelly ,(D),Illinois,District 02,Incumbent,Winner,78.8,1634783,1108137
Marie Newman ,(D),Illinois,District 03,N/a,Winner,56.4,2802093,2699323
Mike Fricilone ,(R),Illinois,District 03,N/a,N/a,43.6,128458,127980
Jesus Garcia ,(D),Illinois,District 04,Incumbent,Winner,16.0,822846,711159
Jesus Solorio Jr ,(R),Illinois,District 04,N/a,N/a,84.0,2065,843
Mike Quigley ,(D),Illinois,District 05,Incumbent,Winner,70.8,1171507,926655
Sean Casten ,(D),Illinois,District 06,Incumbent,Winner,52.8,5582179,5313570
Jeanne Ives ,(R),Illinois,District 06,N/a,N/a,45.4,3157771,3135464
Bill Redpath ,(L),Illinois,District 06,N/a,N/a,1.7,9837,9837
Danny K Davis ,(D),Illinois,District 07,Incumbent,Winner,80.4,544690,505506
Tracy Jennings ,(3),Illinois,District 07,N/a,N/a,6.2,65283,65283
Raja Krishnamoorthi ,(D),Illinois,District 08,Incumbent,Winner,73.2,6358878,2207703
Jan Schakowsky ,(D),Illinois,District 09,Incumbent,Winner,71.0,1834801,1514838
Sargis Sangari ,(R),Illinois,District 09,N/a,N/a,29.0,35364,34715
Brad Schneider ,(D),Illinois,District 10,Incumbent,Winner,63.8,3459512,2873333
Valerie Ramirez Mukherjee ,(R),Illinois,District 10,N/a,N/a,36.2,130225,64764
Bill Foster ,(D),Illinois,District 11,Incumbent,Winner,63.3,2381354,1823906
Rick Laib ,(R),Illinois,District 11,N/a,N/a,36.7,20343,20064
Mike Bost ,(R),Illinois,District 12,Incumbent,Winner,60.6,1918041,1509573
Ray Lenzi ,(D),Illinois,District 12,N/a,N/a,39.4,161324,104809
Rodney Davis ,(R),Illinois,District 13,Incumbent,Winner,54.4,4943459,4822600
Betsy Dirksen Londrigan ,(D),Illinois,District 13,N/a,N/a,45.6,5297007,5281880
Lauren A Underwood ,(D),Illinois,District 14,Incumbent,Winner,50.7,7803579,7301503
Jim Oberweis ,(R),Illinois,District 14,N/a,N/a,49.3,2438857,2348798
Mary Miller ,(R),Illinois,District 15,N/a,Winner,73.5,689057,570356
Erika Weaver ,(D),Illinois,District 15,N/a,N/a,26.5,58689,23349
Adam Kinzinger ,(R),Illinois,District 16,Incumbent,Winner,64.8,2105736,1588550
Dani Brzozowski ,(D),Illinois,District 16,N/a,N/a,35.2,459344,376167
Cheri Bustos ,(D),Illinois,District 17,Incumbent,Winner,52.0,4975192,6391009
Esther Joy King ,(R),Illinois,District 17,N/a,N/a,48.0,2032878,2030587
Darin LaHood ,(R),Illinois,District 18,Incumbent,Winner,70.5,3248113,1749128
Frank Mrvan Jr ,(D),Indiana,District 01,N/a,Winner,56.6,578635,464407
Mark Leyva ,(R),Indiana,District 01,N/a,N/a,40.4,16551,15343
Jackie Walorski ,(R),Indiana,District 02,Incumbent,Winner,61.5,2383467,1698202
Pat Hackett ,(D),Indiana,District 02,N/a,N/a,38.5,881888,867301
Jim Banks ,(R),Indiana,District 03,Incumbent,Winner,67.8,1202509,769591
Chip Coldiron ,(D),Indiana,District 03,N/a,N/a,32.2,94056,89883
Jim Baird ,(R),Indiana,District 04,Incumbent,Winner,66.6,327727,190158
Joe Mackey ,(D),Indiana,District 04,N/a,N/a,33.4,44585,43213
Christina Hale ,(D),Indiana,District 05,N/a,N/a,45.9,4010368,3998905
Victoria Spartz ,(R),Indiana,District 05,N/a,Winner,50.0,3119328,3010203
Greg Pence ,(R),Indiana,District 06,Incumbent,Winner,68.7,3114448,2804148
Jeannine Lee Lake ,(D),Indiana,District 06,N/a,N/a,27.7,143089,145315
Andre Carson ,(D),Indiana,District 07,Incumbent,Winner,62.4,1011635,873962
Susan Marie Smith ,(R),Indiana,District 07,N/a,N/a,37.6,62905,59843
Larry Bucshon ,(R),Indiana,District 08,Incumbent,Winner,66.9,1051336,1078646
Thomasina Marsili ,(D),Indiana,District 08,N/a,N/a,29.8,68734,68480
Trey Hollingsworth ,(R),Indiana,District 09,Incumbent,Winner,60.9,1166754,501136
Andy Ruff ,(D),Indiana,District 09,N/a,N/a,34.8,148263,134906
Tonya Millis ,(L),Indiana,District 09,N/a,N/a,4.3,10224,10041
Abby Finkenauer ,(D),Iowa,District 01,Incumbent,N/a,48.7,5901441,5875405
Ashley Hinson ,(R),Iowa,District 01,N/a,Winner,51.3,5175883,5059211
Rita Hart ,(D),Iowa,District 02,N/a,N/a,50.0,4232992,4114400
Mariannette Miller-Meeks ,(R),Iowa,District 02,N/a,Winner,50.0,2174194,1721926
Cindy Axne ,(D),Iowa,District 03,Incumbent,Winner,49.0,6236976,6236994
David Young ,(R),Iowa,District 03,N/a,N/a,47.6,3170072,3094582
J.D. Scholten ,(D),Iowa,District 04,N/a,N/a,62.1,2885915,2902003
Randy Feenstra ,(R),Iowa,District 04,N/a,Winner,37.9,1906234,1894288
